"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers"
"tt10250750","Boonie Bears: Blast Into the Past",2019,"90","Adventure,Animation,Fantasy","nm5694753","nm5695156, nm5694887"
"tt10250842","China's foretold history",2019,"96","Documentary","nm6235717","nm6235717"
"tt1025100","Gemini Man",2019,"117","Action,Adventure,Sci-Fi","nm0000487","nm1125275, nm0712753, nm0501359"
"tt10251034","The Viewing Booth",2019,"70","Documentary","nm0018924","nm0018924"
"tt10251538","10 Days with Dad",2020,"104","Comedy,Family","nm0076307","nm1033668, nm1409431, nm0893556, nm0076307, nm3457034"
"tt10252330","Granny Nanny",2020,"104","Comedy","nm0343185","nm0517282"
"tt10252928","Allahu Akbar",2019,"87","Drama","nm3815637, nm10652348, nm11015460","nm10652348"
"tt10253302","The Legend of Joan of Arc",2019,"48","Adventure,Animation,Biography","nm0728883","nm3588824, nm0728883"
"tt10253466","Badland",2019,"117","Western","nm4899218","nm4899218"
"tt10253816","Kabaneri of the Iron Fortress: The Battle of Unato",2019,"68","Action,Adventure,Animation","nm2013928","nm2013928"
"tt10254960","Tankhouse",2022,"94","Comedy","nm5756907","nm5104090, nm5756907"
"tt10254986","Q Ball",2019,"96","Documentary,Sport","nm0865837","nm0865837"
"tt10255320","Deviant Love",2019,"87","Thriller","nm0006395","nm3159868"
"tt10255374","Evil Intent",2019,"86","Thriller","nm0006395","nm10653460"
"tt10255854","Artist Police",2020,"77","Biography,Fantasy","nm2119228","nm2119228"
"tt10255978","Bhootkaal",2016,"126","Horror","nm10653866","nm10653866"
"tt10256238","Created Equal: Clarence Thomas in His Own Words",2020,"116","Biography,Documentary","nm1530434","nm1530434"
"tt10256570","The Goddess of Fortune",2019,"118","Drama","nm0654858","nm0710011, nm0739744, nm0654858"
"tt10256894","Sunday",2019,"82","Drama","nm0698757","nm2014974"
"tt10257110","Manaroopa",2019,"124","Adventure,Crime,Family","nm10654672","nm10654672"
"tt10257672","The Protestants",2020,"82","Documentary","nm2516354","nm2516354"
"tt10259162","Tapeworm",2019,"78","Comedy,Drama","nm5045026, nm4568991","nm5045026, nm4568991"
"tt10259534","Rainbow Season",2019,"67","Music","nm1738712","nm1738712"
"tt10260042","Antigone",2019,"109","Crime,Drama","nm1834561","nm1834561, nm0814668"
"tt10260294","Guests",2019,"88","Drama,Horror,Romance","nm4622421","nm1192848, nm10655572"
"tt10260534","Sleeping with My Student",2019,"87","Drama,Romance,Thriller","nm0791140","nm2225146"
"tt10260554","Godforsaken",2019,"95","Horror","nm10655846","nm10655851"
"tt10260672","Chonda Pierce: Unashamed",2019,"90","Documentary","nm5962792","nm5962792, nm3202802"
"tt10260692","Faith Based",2020,"92","Comedy","nm1802233","nm1146612, nm1802233, nm3106079"
"tt10260810","Anywhere Is Here",2019,"75","Drama","nm9973123","nm9973126, nm10656012, nm9973123"
"tt10260844","Queen of Spades",2021,"91","Horror","nm1427978","nm1433435, nm5276483, nm1427978"
"tt10261338","The Promised Land",2019,"129","Crime,Drama","nm0955270","nm2398252, nm0955270"
"tt10262380","Boys from County Hell",2020,"88","Comedy,Horror","nm1776860","nm1776860, nm3519659"
"tt10262492","Brown Boys",2019,"92","Comedy","nm4999754","nm4999754"
"tt10262648","Compartment Number 6",2021,"107","Drama,Romance","nm3123366","nm5082585, nm3123366, nm0510162, nm6263533, nm2734469"
